2024-10-23 20:07:26 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagRST current has 76 flow
2024-10-23 20:07:26 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagRST current has 75 flow
2024-10-23 20:07:26 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagRST current has 74 flow
2024-10-23 20:07:26 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagRST current has 73 flow
2024-10-23 20:07:26 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagRST current has 72 flow
2024-10-23 20:07:26 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagRST current has 71 flow
2024-10-23 20:07:26 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagRST current has 70 flow
2024-10-23 20:07:26 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagRST current has 69 flow
2024-10-23 20:07:26 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagRST current has 68 flow
2024-10-23 20:07:26 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagRST current has 67 flow
2024-10-23 20:07:26 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagRST current has 66 flow
2024-10-23 20:07:26 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagRST current has 65 flow
2024-10-23 20:07:26 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagRST current has 64 flow
2024-10-23 20:07:26 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagRST current has 63 flow
2024-10-23 20:07:26 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagRST current has 62 flow
2024-10-23 20:07:26 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagRST current has 61 flow
2024-10-23 20:07:26 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagRST current has 60 flow
2024-10-23 20:07:26 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagRST current has 59 flow
2024-10-23 20:07:26 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagRST current has 58 flow
2024-10-23 20:07:26 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagRST current has 57 flow
2024-10-23 20:07:26 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagRST current has 56 flow
2024-10-23 20:07:26 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagRST current has 55 flow
2024-10-23 20:07:26 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagRST current has 54 flow
2024-10-23 20:07:26 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagRST current has 53 flow
2024-10-23 20:07:26 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagRST current has 52 flow
2024-10-23 20:07:26 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagRST current has 51 flow
2024-10-23 20:07:26 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagRST current has 50 flow
2024-10-23 20:07:26 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagRST current has 49 flow
2024-10-23 20:07:26 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagRST current has 48 flow
2024-10-23 20:07:26 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagRST current has 47 flow
2024-10-23 20:07:26 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagRST current has 46 flow
2024-10-23 20:07:26 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagRST current has 45 flow
2024-10-23 20:07:26 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagRST current has 44 flow
2024-10-23 20:07:26 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagRST current has 43 flow
2024-10-23 20:07:26 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagRST current has 42 flow
2024-10-23 20:07:26 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagRST current has 41 flow
2024-10-23 20:07:26 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagRST current has 40 flow
2024-10-23 20:07:26 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagRST current has 39 flow
