Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
52.186.154.127-5.211.207.119-0-0-0,52.186.154.127,0,5.211.207.119,0,0,07/11/2024 10:27:24 PM,19672629,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.10166409380261275,1.9672629E7,0.0,1.9672629E7,1.9672629E7,1.9672629E7,1.9672629E7,0.0,1.9672629E7,1.9672629E7,0,0,0,0,0,0,0,0,0,0,0,0.10166409380261275,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1.9672629E7,0.0,1.9672629E7,1.9672629E7,NeedManualLabel
52.186.154.127-5.211.175.79-0-0-0,52.186.154.127,0,5.211.175.79,0,0,07/11/2024 10:27:38 PM,19393616,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.10312671963804995,1.9393616E7,0.0,1.9393616E7,1.9393616E7,1.9393616E7,1.9393616E7,0.0,1.9393616E7,1.9393616E7,0,0,0,0,0,0,0,0,0,0,0,0.10312671963804995,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1.9393616E7,0.0,1.9393616E7,1.9393616E7,NeedManualLabel
52.186.154.127-5.211.227.41-0-0-0,52.186.154.127,0,5.211.227.41,0,0,07/11/2024 10:27:56 PM,4100156,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.4877863183742277,4100156.0,0.0,4100156.0,4100156.0,4100156.0,4100156.0,0.0,4100156.0,4100156.0,0,0,0,0,0,0,0,0,0,0,0,0.4877863183742277,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NeedManualLabel
52.186.154.127-5.211.91.57-0-0-0,52.186.154.127,0,5.211.91.57,0,0,07/11/2024 10:27:27 PM,9195572,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.2174959861115763,9195572.0,0.0,9195572.0,9195572.0,9195572.0,9195572.0,0.0,9195572.0,9195572.0,0,0,0,0,0,0,0,0,0,0,0,0.2174959861115763,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,9195572.0,0.0,9195572.0,9195572.0,NeedManualLabel
52.186.154.127-5.211.226.2-0-0-0,52.186.154.127,0,5.211.226.2,0,0,07/11/2024 10:27:48 PM,13649169,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.14652906708093363,1.3649169E7,0.0,1.3649169E7,1.3649169E7,1.3649169E7,1.3649169E7,0.0,1.3649169E7,1.3649169E7,0,0,0,0,0,0,0,0,0,0,0,0.14652906708093363,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1.3649169E7,0.0,1.3649169E7,1.3649169E7,NeedManualLabel
52.186.154.127-5.211.145.73-0-0-0,52.186.154.127,0,5.211.145.73,0,0,07/11/2024 10:27:31 PM,20753402,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.09636974217528287,2.0753402E7,0.0,2.0753402E7,2.0753402E7,2.0753402E7,2.0753402E7,0.0,2.0753402E7,2.0753402E7,0,0,0,0,0,0,0,0,0,0,0,0.09636974217528287,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2.0753402E7,0.0,2.0753402E7,2.0753402E7,NeedManualLabel
52.186.154.127-5.211.16.209-0-0-0,52.186.154.127,0,5.211.16.209,0,0,07/11/2024 10:27:32 PM,20935451,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.09553173705214184,2.0935451E7,0.0,2.0935451E7,2.0935451E7,2.0935451E7,2.0935451E7,0.0,2.0935451E7,2.0935451E7,0,0,0,0,0,0,0,0,0,0,0,0.09553173705214184,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2.0935451E7,0.0,2.0935451E7,2.0935451E7,NeedManualLabel
52.186.154.127-5.211.106.250-0-0-0,52.186.154.127,0,5.211.106.250,0,0,07/11/2024 10:27:27 PM,29363443,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.06811190363473384,2.9363443E7,0.0,2.9363443E7,2.9363443E7,2.9363443E7,2.9363443E7,0.0,2.9363443E7,2.9363443E7,0,0,0,0,0,0,0,0,0,0,0,0.06811190363473384,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2.9363443E7,0.0,2.9363443E7,2.9363443E7,NeedManualLabel
52.186.154.127-5.211.30.82-0-0-0,52.186.154.127,0,5.211.30.82,0,0,07/11/2024 10:27:44 PM,3487076,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.5735464325985439,3487076.0,0.0,3487076.0,3487076.0,3487076.0,3487076.0,0.0,3487076.0,3487076.0,0,0,0,0,0,0,0,0,0,0,0,0.5735464325985439,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NeedManualLabel
52.186.154.127-5.211.249.15-0-0-0,52.186.154.127,0,5.211.249.15,0,0,07/11/2024 10:27:30 PM,22764189,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.08785729199489603,2.2764189E7,0.0,2.2764189E7,2.2764189E7,2.2764189E7,2.2764189E7,0.0,2.2764189E7,2.2764189E7,0,0,0,0,0,0,0,0,0,0,0,0.08785729199489603,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2.2764189E7,0.0,2.2764189E7,2.2764189E7,NeedManualLabel
